,起飛時間(出發),起飛地點(出發),抵達時間(出發),抵達地點(出發),起飛時間(回程),起飛地點(回程),抵達時間(回程),抵達地點(回程),航空公司,購買網站,一人價格(TWD),兩人總價(TWD),買票去！
1,19:45,TSA,17:30,KIX,18:30,KIX,09:45,TPE,廈門航空,Trip.com,10157,20314,https://travel.line.me//flights/4cb72e057fae2b9df9d7f1f641e1edc0?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
2,02:00,TPE,16:00,KIX,18:30,KIX,09:45,TPE,德威航空、廈門航空,Trip.com,10581,21162,https://travel.line.me//flights/9954a08da684363bcf6a6882f93c743f?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
3,15:40,TPE,08:15,KIX,17:40,KIX,14:40,TPE,香港航空,Trip.com,10844,21688,https://travel.line.me//flights/b740ba7a629c7e2c821532814153713b?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
4,15:40,TPE,16:40,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,11131,22262,https://travel.line.me//flights/64603edb874665c42631de0abe670867?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
5,15:40,TPE,19:35,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,11131,22262,https://travel.line.me//flights/1b89b52ee25dc23ec785a6af14b2764e?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
6,02:15,TPE,06:00,KIX,18:30,KIX,09:45,TPE,樂桃航空、廈門航空,Trip.com,11450,22900,https://travel.line.me//flights/06b53f1f4aa169796f7197c09f4d9578?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
7,15:40,TPE,08:15,KIX,17:40,KIX,11:30,TPE,香港航空,ezTravel 易遊網,11803,23606,https://travel.line.me//flights/8078480bf786676c1a12c1f7e6831607?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
8,19:45,TSA,17:30,KIX,18:30,KIX,18:45,TSA,廈門航空,東南旅遊,11812,23624,https://travel.line.me//flights/0d1b40796fc1ebc30f42666477dcb12d?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
9,15:40,TPE,16:40,KIX,17:40,KIX,11:30,TPE,香港航空,東南旅遊,11939,23878,https://travel.line.me//flights/b7adc8e355061b4d67c6f3877e550f4d?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
10,15:40,TPE,19:35,KIX,17:40,KIX,11:30,TPE,香港航空,東南旅遊,11939,23878,https://travel.line.me//flights/4de19be4bac2dd9682de6be95d47a805?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
